CLASSID,SPELLID,SPELLNAME,RANK,ICON_NAME,TOOLTIP,SPEC_0,SPEC_1,SPEC_2
0,16930,Thick Hide,2,inv_misc_pelt_bear_03,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=16930/thick-hide""><b class=""whtt-name"">Thick Hide</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">Increases your Armor contribution from items by 4%.</div></td></tr></table>",0,1,0
0,16938,Ferocity,5,ability_hunter_pet_hyena,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=16938/ferocity""><b class=""whtt-name"">Ferocity</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">Reduces the cost of your Maul, Swipe, Claw, and Rake abilities by 5 Rage or Energy.</div></td></tr></table>",0,1,0
0,16944,Sharpened Claws,3,inv_misc_monsterclaw_04,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=16944/sharpened-claws""><b class=""whtt-name"">Sharpened Claws</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><span class=""wowhead-tooltip-requirements"">Requires Cat Form, Bear Form, Dire Bear Form</span><div class=""q"">Increases your critical strike chance while in Bear, Dire Bear or Cat Form by 6%.</div></td></tr></table>",0,1,0
0,16951,Feral Instinct,5,ability_ambush,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=16951/feral-instinct""><b class=""whtt-name"">Feral Instinct</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><span class=""wowhead-tooltip-requirements"">Requires Cat Form, Bear Form, Dire Bear Form</span><div class=""q"">Increases threat caused in Bear and Dire Bear Form by 15% and reduces the chance enemies have to detect you while Prowling.</div></td></tr></table>",0,1,0
0,16954,Blood Frenzy,2,ability_ghoulfrenzy,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=16954/blood-frenzy""><b class=""whtt-name"">Blood Frenzy</b></a><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><span class=""wowhead-tooltip-requirements"">Requires Cat Form</span><div class=""q"">Your critical strikes from Cat Form abilities that add combo points &nbsp;have a 100% chance to add an additional combo point.</div></td></tr></table>",0,1,0
0,16968,Improved Shred,2,spell_shadow_vampiricaura,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=16968/improved-shred""><b class=""whtt-name"">Improved Shred</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">Reduces the Energy cost of your Shred ability by 12.</div></td></tr></table>",0,1,0
0,16975,Predatory Strikes,3,ability_hunter_pet_cat,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=16975/predatory-strikes""><b class=""whtt-name"">Predatory Strikes</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">Increases your melee attack power in Cat, Bear and Dire Bear Forms by 150% of your level.</div></td></tr></table>",0,1,0
0,16979,Feral Charge,1,ability_hunter_pet_bear,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=16979/feral-charge""><b class=""whtt-name"">Feral Charge</b></a><div class=""q0"">Talent</div><table width=""100%""><tr><td>5 Rage</td><th>8 - 25 yd range</th></tr></table><table width=""100%""><tr><td>Instant cast</td><th><!--cooldownText-->15 sec cooldown<!--cooldownText--><!--baseCooldown:15 sec cooldown--></th></tr></table><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><span class=""wowhead-tooltip-requirements"">Requires Bear Form, Dire Bear Form</span><div class=""q"">Causes you to charge an enemy, immobilizing and interrupting any spell being cast for 4 sec.</div></td></tr></table>",0,1,0
0,16999,Savage Fury,2,ability_druid_ravage,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=16999/savage-fury""><b class=""whtt-name"">Savage Fury</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">Increases the damage caused by your Claw, Rake, Maul and Swipe abilities by 20%.</div></td></tr></table>",0,1,0
0,17007,Leader of the Pack,1,spell_nature_unyeildingstamina,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=17007/leader-of-the-pack""><b class=""whtt-name"">Leader of the Pack</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">While in Cat, Bear or Dire Bear Form, the Leader of the Pack increases ranged and melee critical chance of all party members within 45 yards by 3%.</div></td></tr></table>",0,1,0
0,17055,Improved Mark of the Wild,5,spell_nature_regeneration,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=17055/improved-mark-of-the-wild""><b class=""whtt-name"">Improved Mark of the Wild</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">Increases the effects of your Mark of the Wild and Gift of the Wild spells by 35%.</div></td></tr></table>",1,0,1
0,17061,Furor,5,spell_holy_blessingofstamina,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=17061/furor""><b class=""whtt-name"">Furor</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">Gives you 100% chance to gain 10 Rage when you shapeshift into Bear and Dire Bear Form or 40 Energy when you shapeshift into Cat Form.</div></td></tr></table>",0,1,0
0,17063,Nature’s Focus,1,spell_nature_healingwavegreater,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=17063/natures-focus""><b class=""whtt-name"">Nature's Focus</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">Gives you a 14% chance to avoid interruption caused by damage while casting the Healing Touch, Regrowth and Tranquility spells.</div></td></tr></table>",1,0,0
0,17068,Nature’s Focus,5,spell_nature_healingwavegreater,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=17068/natures-focus""><b class=""whtt-name"">Nature's Focus</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">Gives you a 70% chance to avoid interruption caused by damage while casting the Healing Touch, Regrowth and Tranquility spells.</div></td></tr></table>",0,0,1
0,17073,Improved Healing Touch,5,spell_nature_healingtouch,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=17073/improved-healing-touch""><b class=""whtt-name"">Improved Healing Touch</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">Reduces the cast time of your Healing Touch spell by 0.5 sec.</div></td></tr></table>",1,0,1
0,17078,Improved Regrowth,5,spell_nature_resistnature,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=17078/improved-regrowth""><b class=""whtt-name"">Improved Regrowth</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">Increases the critical effect chance of your Regrowth spell by 50%.</div></td></tr></table>",0,0,1
0,17108,Reflection,3,spell_frost_windwalkon,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=17108/reflection""><b class=""whtt-name"">Reflection</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">Allows 15% of your Mana regeneration to continue while casting.</div></td></tr></table>",1,0,1
0,17111,Improved Rejuvenation,1,spell_nature_rejuvenation,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=17111/improved-rejuvenation""><b class=""whtt-name"">Improved Rejuvenation</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">Increases the effect of your Rejuvenation spell by 5%.</div></td></tr></table>",1,0,0
0,17113,Improved Rejuvenation,3,spell_nature_rejuvenation,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=17113/improved-rejuvenation""><b class=""whtt-name"">Improved Rejuvenation</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">Increases the effect of your Rejuvenation spell by 15%.</div></td></tr></table>",0,0,1
0,17116,Nature’s Swiftness,1,spell_nature_ravenform,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=17116/natures-swiftness""><b class=""whtt-name"">Nature's Swiftness</b></a><div class=""q0"">Talent</div><table width=""100%""><tr><td>Instant</td><th><!--cooldownText-->3 min cooldown<!--cooldownText--><!--baseCooldown:3 min cooldown--></th></tr></table><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">When activated, your next Nature spell becomes an instant cast spell.</div><br /><span class=""q""><br /><span class=""q1"">Modifies Cast Time -100%: </span><br /><a href=""/classic/spell=339/entangling-roots"">Entangling Roots</a>, <a href=""/classic/spell=1062/entangling-roots"">Entangling Roots</a>, <a href=""/classic/spell=5195/entangling-roots"">Entangling Roots</a>, <a href=""/classic/spell=5196/entangling-roots"">Entangling Roots</a>, <a href=""/classic/spell=9852/entangling-roots"">Entangling Roots</a>, <a href=""/classic/spell=9853/entangling-roots"">Entangling Roots</a>, <a href=""/classic/spell=5185/healing-touch"">Healing Touch</a>, <a href=""/classic/spell=5186/healing-touch"">Healing Touch</a>, <a href=""/classic/spell=5187/healing-touch"">Healing Touch</a>, <a href=""/classic/spell=5188/healing-touch"">Healing Touch</a>, <a href=""/classic/spell=5189/healing-touch"">Healing Touch</a>, <a href=""/classic/spell=6778/healing-touch"">Healing Touch</a>, <a href=""/classic/spell=8903/healing-touch"">Healing Touch</a>, <a href=""/classic/spell=9758/healing-touch"">Healing Touch</a>, <a href=""/classic/spell=9888/healing-touch"">Healing Touch</a>, <a href=""/classic/spell=9889/healing-touch"">Healing Touch</a>, <a href=""/classic/spell=25297/healing-touch"">Healing Touch</a>, <a href=""/classic/spell=2637/hibernate"">Hibernate</a>, <a href=""/classic/spell=18657/hibernate"">Hibernate</a>, <a href=""/classic/spell=18658/hibernate"">Hibernate</a>, <a href=""/classic/spell=408247/nourish"">Nourish</a>, <a href=""/classic/spell=20484/rebirth"">Rebirth</a>, <a href=""/classic/spell=20739/rebirth"">Rebirth</a>, <a href=""/classic/spell=20742/rebirth"">Rebirth</a>, <a href=""/classic/spell=20747/rebirth"">Rebirth</a>, <a href=""/classic/spell=20748/rebirth"">Rebirth</a>, <a href=""/classic/spell=8936/regrowth"">Regrowth</a>, <a href=""/classic/spell=8938/regrowth"">Regrowth</a>, <a href=""/classic/spell=8939/regrowth"">Regrowth</a>, <a href=""/classic/spell=8940/regrowth"">Regrowth</a>, <a href=""/classic/spell=8941/regrowth"">Regrowth</a>, <a href=""/classic/spell=9750/regrowth"">Regrowth</a>, <a href=""/classic/spell=9856/regrowth"">Regrowth</a>, <a href=""/classic/spell=9857/regrowth"">Regrowth</a>, <a href=""/classic/spell=9858/regrowth"">Regrowth</a>, <a href=""/classic/spell=2908/soothe-animal"">Soothe Animal</a>, <a href=""/classic/spell=8955/soothe-animal"">Soothe Animal</a>, <a href=""/classic/spell=9901/soothe-animal"">Soothe Animal</a>, <a href=""/classic/spell=417157/starsurge"">Starsurge</a>, <a href=""/classic/spell=5176/wrath"">Wrath</a>, <a href=""/classic/spell=5177/wrath"">Wrath</a>, <a href=""/classic/spell=5178/wrath"">Wrath</a>, <a href=""/classic/spell=5179/wrath"">Wrath</a>, <a href=""/classic/spell=5180/wrath"">Wrath</a>, <a href=""/classic/spell=6780/wrath"">Wrath</a>, <a href=""/classic/spell=8905/wrath"">Wrath</a>, <a href=""/classic/spell=9912/wrath"">Wrath</a><br /></span></td></tr></table>",1,0,1
0,17249,Improved Nature’s Grasp,4,spell_nature_natureswrath,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=17249/improved-natures-grasp""><b class=""whtt-name"">Improved Nature's Grasp</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">Increases the chance for your Nature's Grasp to entangle an enemy by 65%.</div></td></tr></table>",1,1,1
0,17329,Nature’s Grasp,1,spell_nature_natureswrath,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=17329/natures-grasp""><b class=""whtt-name"">Nature's Grasp</b></a><div class=""q0"">Talent</div>125 Mana<table width=""100%""><tr><td>Instant</td><th><!--cooldownText-->1 min cooldown<!--cooldownText--><!--baseCooldown:1 min cooldown--></th></tr></table><div class=""wowhead-tooltip-requirements"">Requires Druid</div><span class=""wowhead-tooltip-requirements"">Requires level 58</span><br /></td></tr></table><table><tr><td><div class=""q"">While active, any time an enemy strikes the caster they have a 35% chance to become afflicted by Entangling Roots (Rank 6). &nbsp;Only useable outdoors. &nbsp;1 charge. &nbsp;Lasts 45 sec.</div> (Proc chance: 35%)</td></tr></table>",1,1,1
0,17392,Faerie Fire (Feral),1,spell_nature_faeriefire,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=17392/faerie-fire-feral""><b class=""whtt-name"">Faerie Fire (Feral)</b></a><div class=""q0"">Talent</div>30 yd range<table width=""100%""><tr><td>Instant</td><th><!--cooldownText-->6 sec cooldown<!--cooldownText--><!--baseCooldown:6 sec cooldown--></th></tr></table><div class=""wowhead-tooltip-requirements"">Requires Druid</div><span class=""wowhead-tooltip-requirements"">Requires level 54</span><br /></td></tr></table><table><tr><td><span class=""wowhead-tooltip-requirements"">Requires Cat Form, Bear Form, Dire Bear Form</span><div class=""q"">Decrease the armor of the target by 505 for 40 sec. &nbsp;While affected, the target cannot stealth or turn invisible.</div></td></tr></table>",0,1,0
0,18562,Swiftmend,1,inv_relics_idolofrejuvenation,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=18562/swiftmend""><b class=""whtt-name"">Swiftmend</b></a><div class=""q0"">Talent</div><table width=""100%""><tr><td>20% of base mana</td><th>40 yd range</th></tr></table><table width=""100%""><tr><td>Instant</td><th><!--cooldownText-->15 sec cooldown<!--cooldownText--><!--baseCooldown:15 sec cooldown--></th></tr></table><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">Consumes a Rejuvenation or Regrowth effect on a friendly target to instantly heal them an amount equal to 12 sec. of Rejuvenation or 18 sec. of Regrowth.</div></td></tr></table>",0,0,1
0,24894,Heart of the Wild,5,spell_holy_blessingofagility,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=24894/heart-of-the-wild""><b class=""whtt-name"">Heart of the Wild</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">Increases your Intellect by 20%. &nbsp;In addition, while in Bear or Dire Bear Form your Stamina is increased by 20% and while in Cat Form your Strength is increased by 20%.</div></td></tr></table>",0,1,0
0,24946,Gift of Nature,5,spell_nature_protectionformnature,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=24946/gift-of-nature""><b class=""whtt-name"">Gift of Nature</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">Increases the effect of all healing spells by 10%.</div></td></tr></table>",1,0,1
0,24972,Tranquil Spirit,5,spell_holy_elunesgrace,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=24972/tranquil-spirit""><b class=""whtt-name"">Tranquil Spirit</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Druid</div></td></tr></table><table><tr><td><div class=""q"">Reduces the mana cost of your Healing Touch and Tranquility spells by 10%.</div></td></tr></table>",1,0,1
0,24977,Insect Swarm,1,spell_nature_insectswarm,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=24977/insect-swarm""><b class=""whtt-name"">Insect Swarm</b></a><div class=""q0"">Talent</div><table width=""100%""><tr><td>160 Mana</td><th>30 yd range</th></tr></table>Instant<div class=""wowhead-tooltip-requirements"">Requires Druid</div><span class=""wowhead-tooltip-requirements"">Requires level 60</span><br /></td></tr></table><table><tr><td><div class=""q"">The enemy target is swarmed by insects, decreasing their chance to hit by 2% and causing 324 Nature damage over 12 sec.</div></td></tr></table>",1,0,1
1,10060,Power Infusion,1,spell_holy_powerinfusion,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=10060/power-infusion""><b class=""whtt-name"">Power Infusion</b></a><div class=""q0"">Talent</div><table width=""100%""><tr><td>20% of base mana</td><th>30 yd range</th></tr></table><table width=""100%""><tr><td>Instant</td><th><!--cooldownText-->3 min cooldown<!--cooldownText--><!--baseCooldown:3 min cooldown--></th></tr></table><div class=""wowhead-tooltip-requirements"">Requires Priest</div></td></tr></table><table><tr><td><div class=""q"">Infuses the target with power, increasing their spell damage and healing by 20%. &nbsp;Lasts 15 sec.</div></td></tr></table>",1,0,0
1,14523,Silent Resolve,1,spell_nature_manaregentotem,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=14523/silent-resolve""><b class=""whtt-name"">Silent Resolve</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Priest</div></td></tr></table><table><tr><td><div class=""q"">Reduces the threat generated by your spells by 4%.</div></td></tr></table>",0,1,1
1,14528,Wand Specialization,5,inv_wand_01,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=14528/wand-specialization""><b class=""whtt-name"">Wand Specialization</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Priest</div></td></tr></table><table><tr><td><div class=""q"">Increases your damage with Wands by 25%.</div></td></tr></table>",0,0,1
1,14751,Inner Focus,1,spell_frost_windwalkon,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=14751/inner-focus""><b class=""whtt-name"">Inner Focus</b></a><div class=""q0"">Talent</div><table width=""100%""><tr><td>Instant</td><th><!--cooldownText-->3 min cooldown<!--cooldownText--><!--baseCooldown:3 min cooldown--></th></tr></table><div class=""wowhead-tooltip-requirements"">Requires Priest</div></td></tr></table><table><tr><td><div class=""q"">When activated, reduces the Mana cost of your next spell by 100% and increases its critical effect chance by 25% if it is capable of a critical effect.</div></td></tr></table>",1,1,1
1,14767,Improved Power Word: Fortitude,2,spell_holy_wordfortitude,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=14767/improved-power-word-fortitude""><b class=""whtt-name"">Improved Power Word: Fortitude</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Priest</div></td></tr></table><table><tr><td><div class=""q"">Increases the effect of your Power Word: Fortitude and Prayer of Fortitude spells by 30%.</div></td></tr></table>",1,1,1
1,14769,Improved Power Word: Shield,3,spell_holy_powerwordshield,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=14769/improved-power-word-shield""><b class=""whtt-name"">Improved Power Word: Shield</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Priest</div></td></tr></table><table><tr><td><div class=""q"">Increases the damage absorbed by your Power Word: Shield by 15%.</div></td></tr></table>",1,1,1
1,14777,Meditation,3,spell_nature_sleep,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=14777/meditation""><b class=""whtt-name"">Meditation</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Priest</div></td></tr></table><table><tr><td><div class=""q"">Allows 15% of your Mana regeneration to continue while casting.</div></td></tr></table>",1,1,1
1,14783,Mental Agility,5,ability_hibernation,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=14783/mental-agility""><b class=""whtt-name"">Mental Agility</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Priest</div></td></tr></table><table><tr><td><div class=""q"">Reduces the mana cost of your instant cast spells by 10%.</div></td></tr></table>",1,1,1
1,14787,Silent Resolve,5,spell_nature_manaregentotem,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=14787/silent-resolve""><b class=""whtt-name"">Silent Resolve</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Priest</div></td></tr></table><table><tr><td><div class=""q"">Reduces the threat generated by your spells by 20%.</div></td></tr></table>",1,0,0
1,14791,Unbreakable Will,5,spell_magic_magearmor,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=14791/unbreakable-will""><b class=""whtt-name"">Unbreakable Will</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Priest</div></td></tr></table><table><tr><td><div class=""q"">Increases your chance to resist Stun, Fear, and Silence effects by an additional 15%.</div></td></tr></table>",1,1,0
1,15011,Holy Specialization,5,spell_holy_sealofsalvation,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=15011/holy-specialization""><b class=""whtt-name"">Holy Specialization</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Priest</div></td></tr></table><table><tr><td><div class=""q"">Increases the critical effect chance of your Holy spells by 5%.</div></td></tr></table>",1,1,0
1,15014,Improved Heailng,3,spell_holy_heal02,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=15014/improved-healing""><b class=""whtt-name"">Improved Healing</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Priest</div></td></tr></table><table><tr><td><div class=""q"">Reduces the Mana cost of your Lesser Heal, Heal, and Greater Heal spells by 15%.</div></td></tr></table>",1,1,0
1,15020,Improved Renew,2,spell_holy_renew,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=15020/improved-renew""><b class=""whtt-name"">Improved Renew</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Priest</div></td></tr></table><table><tr><td><div class=""q"">Increases the amount healed by your Renew spell by 10%.</div></td></tr></table>",1,1,0
1,15031,Spiritual Guidance,5,spell_holy_spiritualguidence,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=15031/spiritual-guidance""><b class=""whtt-name"">Spiritual Guidance</b></a><div class=""q0"">Talent</div><div class=""wowhead-tooltip-requirements"">Requires Priest</div></td></tr></table><table><tr><td><div class=""q"">Increases spell damage and healing by up to 25% of your total Spirit.</div></td></tr></table>",0,1,0
1,15286,Vampiric Embrace,1,spell_shadow_unsummonbuilding,"<table><tr><td><a class=""whtt-name"" href=""/classic/spell=15286/vampiric-embrace""><b class=""whtt-name"">Vampiric Embrace</b></a><div class=""q0"">Talent</div><table width=""100%""><tr><td>40 Mana</td><th>30 yd range</th></tr></table><table width=""100%""><tr><td>Instant</td><th><!--cooldownText-->10 sec cooldown<!--cooldownText--><!--baseCooldown:10 sec cooldown--></th></tr></table><div class=""wowhead-tooltip-requirements"">Requires Priest</div></td></tr></table><table><tr><td><div class=""q"">Afflicts your target with Shadow energy that causes all party members to be healed for 20% of any Shadow spell damage you deal for 1 min<!--sp440247:0--><!--sp440247-->.</div></td></tr></table>",0,0,1
