DB_ID,DISP_ID,EQ_TYPE,ICON_NAME,TYPE,NAME,SOURCE,ITEM_QUALITY,ITEM_LEVEL,BIS,FIERY_CORE,LAVA_CORE,CLASS_MASK,SET,MIN_DAMAGE,MAX_DAMAGE,SPEED,ARMOR,BLOCK_VALUE,ROLE,STAMINA,STRENGTH,AGILITY,INTELLIGENCE,SPIRIT,MP5,ATTACK_POWER,R_ATTACK_POWER,SPELL_DAMAGE,SPELL_HEAL,SPELL_FROST,SPELL_SHADOW,SPELL_FIRE,SPELL_NATURE,HIT_PCT,CRIT_PCT,SPELL_HIT,SPELL_CRIT,PARRY_PCT,DODGE_PCT,BLOCK_PCT,DEFENSE,RESIST_FIRE,RESIST_SHADOW,RESIST_NATURE,RESIST_FROST,RESIST_ARCANE,HEAL_PER_5_SEC,SKILL_DAGGER,SKILL_SWORD,THORNS,COMMENTS,TOOLTIP
8197,2990,8,inv_boots_05,Leather,Nightscape Boots,Starter,2,47,0,0,0,65,0,0,0,0,87,0,PHYS,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"<table><tr><td><!--nstart--><b class=""q2"">Nightscape Boots</b><!--nend--><!--ndstart--><!--ndend--><span class=""q""><br>Item Level <!--ilvl-->47</span><!--bo--><br>Binds when equipped<!--ue--><table width=""100%""><tr><td>Feet</td><th><!--scstart4:2--><span class=""q1"">Leather</span><!--scend--></th></tr></table><!--rf--><span><!--amr-->87 Armor</span><br><span><!--stat3-->+12 Agility</span><!--ebstats--><!--egstats--><!--eistats--><!--nameDescStats--><!--rs--><!--e--><!--ps--><br>Durability 45 / 45</td></tr></table><table><tr><td>Requires Level <!--rlvl-->42<br><!--rr--><!--useText:0:1--><span id=""useText1"" class=""q2"">Equip: <!--useEffect:0:1--><a href=""/classic/spell=17746/stealth-5"" class=""q2"">Increases your effective stealth level by 1.</a><!--useEffect:1--></span><!--useText:1--><!--itemEffects:1--><br><!--pvpEquip--><!--pvpEquip--><div class=""whtt-sellprice"">Sell Price: <span class=""moneysilver"">71</span> <span class=""moneycopper"">58</span></div></td></tr></table>"
8203,14689,5,inv_chest_leather_02,Mail,Tough Scorpid Breastplate,Starter,2,44,0,0,0,32,0,0,0,0,245,0,PHYS,0,0,15,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"<table><tr><td><!--nstart--><b class=""q2"">Tough Scorpid Breastplate</b><!--nend--><!--ndstart--><!--ndend--><span class=""q""><br>Item Level <!--ilvl-->44</span><!--bo--><br>Binds when equipped<!--ue--><table width=""100%""><tr><td>Chest</td><th><!--scstart4:3--><span class=""q1"">Mail</span><!--scend--></th></tr></table><!--rf--><span><!--amr-->245 Armor</span><br><span><!--stat3-->+15 Agility</span><br><span><!--stat6-->+7 Spirit</span><!--ebstats--><!--egstats--><!--eistats--><!--nameDescStats--><!--rs--><!--e--><!--ps--><br>Durability 100 / 100</td></tr></table><table><tr><td>Requires Level <!--rlvl-->39<br><!--rr--><!--itemEffects:0--><!--pvpEquip--><!--pvpEquip--><div class=""whtt-sellprice"">Sell Price: <span class=""moneysilver"">86</span> <span class=""moneycopper"">28</span></div></td></tr></table>"
8204,11833,10,inv_gauntlets_24,Mail,Tough Scorpid Gloves,Starter,2,45,0,0,0,32,0,0,0,0,155,0,HEAL,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"<table><tr><td><!--nstart--><b class=""q2"">Tough Scorpid Gloves</b><!--nend--><!--ndstart--><!--ndend--><span class=""q""><br>Item Level <!--ilvl-->45</span><!--bo--><br>Binds when equipped<!--ue--><table width=""100%""><tr><td>Hands</td><th><!--scstart4:3--><span class=""q1"">Mail</span><!--scend--></th></tr></table><!--rf--><span><!--amr-->155 Armor</span><br><span><!--stat3-->+10 Agility</span><br><span><!--stat6-->+9 Spirit</span><!--ebstats--><!--egstats--><!--eistats--><!--nameDescStats--><!--rs--><!--e--><!--ps--><br>Durability 35 / 35</td></tr></table><table><tr><td>Requires Level <!--rlvl-->40<br><!--rr--><!--itemEffects:0--><!--pvpEquip--><!--pvpEquip--><div class=""whtt-sellprice"">Sell Price: <span class=""moneysilver"">46</span> <span class=""moneycopper"">76</span></div></td></tr></table>"
8205,8197,9,inv_bracer_09,Mail,Tough Scorpid Bracers,Starter,2,44,0,0,0,32,0,0,0,0,107,0,PHYS,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"<table><tr><td><!--nstart--><b class=""q2"">Tough Scorpid Bracers</b><!--nend--><!--ndstart--><!--ndend--><span class=""q""><br>Item Level <!--ilvl-->44</span><!--bo--><br>Binds when equipped<!--ue--><table width=""100%""><tr><td>Wrist</td><th><!--scstart4:3--><span class=""q1"">Mail</span><!--scend--></th></tr></table><!--rf--><span><!--amr-->107 Armor</span><br><span><!--stat3-->+7 Agility</span><br><span><!--stat6-->+6 Spirit</span><!--ebstats--><!--egstats--><!--eistats--><!--nameDescStats--><!--rs--><!--e--><!--ps--><br>Durability 35 / 35</td></tr></table><table><tr><td>Requires Level <!--rlvl-->39<br><!--rr--><!--itemEffects:0--><!--pvpEquip--><!--pvpEquip--><div class=""whtt-sellprice"">Sell Price: <span class=""moneysilver"">43</span> <span class=""moneycopper"">46</span></div></td></tr></table>"
8206,7765,7,inv_pants_12,Mail,Tough Scorpid Leggings,Starter,2,49,0,0,0,32,0,0,0,0,235,0,PHYS,0,0,17,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"<table><tr><td><!--nstart--><b class=""q2"">Tough Scorpid Leggings</b><!--nend--><!--ndstart--><!--ndend--><span class=""q""><br>Item Level <!--ilvl-->49</span><!--bo--><br>Binds when equipped<!--ue--><table width=""100%""><tr><td>Legs</td><th><!--scstart4:3--><span class=""q1"">Mail</span><!--scend--></th></tr></table><!--rf--><span><!--amr-->235 Armor</span><br><span><!--stat3-->+17 Agility</span><br><span><!--stat6-->+10 Spirit</span><!--ebstats--><!--egstats--><!--eistats--><!--nameDescStats--><!--rs--><!--e--><!--ps--><br>Durability 75 / 75</td></tr></table><table><tr><td>Requires Level <!--rlvl-->44<br><!--rr--><!--itemEffects:0--><!--pvpEquip--><!--pvpEquip--><div class=""whtt-sellprice"">Sell Price: <span class=""moneygold"">1</span> <span class=""moneysilver"">27</span> <span class=""moneycopper"">4</span></div></td></tr></table>"
8207,4491,3,inv_shoulder_04,Mail,Tough Scorpid Shoulders,Starter,2,48,0,0,0,32,0,0,0,0,197,0,HEAL,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"<table><tr><td><!--nstart--><b class=""q2"">Tough Scorpid Shoulders</b><!--nend--><!--ndstart--><!--ndend--><span class=""q""><br>Item Level <!--ilvl-->48</span><!--bo--><br>Binds when equipped<!--ue--><table width=""100%""><tr><td>Shoulder</td><th><!--scstart4:3--><span class=""q1"">Mail</span><!--scend--></th></tr></table><!--rf--><span><!--amr-->197 Armor</span><br><span><!--stat3-->+10 Agility</span><br><span><!--stat6-->+10 Spirit</span><!--ebstats--><!--egstats--><!--eistats--><!--nameDescStats--><!--rs--><!--e--><!--ps--><br>Durability 60 / 60</td></tr></table><table><tr><td>Requires Level <!--rlvl-->43<br><!--rr--><!--itemEffects:0--><!--pvpEquip--><!--pvpEquip--><div class=""whtt-sellprice"">Sell Price: <span class=""moneysilver"">89</span> <span class=""moneycopper"">78</span></div></td></tr></table>"
8208,16520,1,inv_helmet_20,Mail,Tough Scorpid Helm,Starter,2,50,0,0,0,32,0,0,0,0,222,0,HEAL,0,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"<table><tr><td><!--nstart--><b class=""q2"">Tough Scorpid Helm</b><!--nend--><!--ndstart--><!--ndend--><span class=""q""><br>Item Level <!--ilvl-->50</span><!--bo--><br>Binds when equipped<!--ue--><table width=""100%""><tr><td>Head</td><th><!--scstart4:3--><span class=""q1"">Mail</span><!--scend--></th></tr></table><!--rf--><span><!--amr-->222 Armor</span><br><span><!--stat3-->+14 Agility</span><br><span><!--stat6-->+14 Spirit</span><!--ebstats--><!--egstats--><!--eistats--><!--nameDescStats--><!--rs--><!--e--><!--ps--><br>Durability 60 / 60</td></tr></table><table><tr><td>Requires Level <!--rlvl-->45<br><!--rr--><!--itemEffects:0--><!--pvpEquip--><!--pvpEquip--><div class=""whtt-sellprice"">Sell Price: <span class=""moneygold"">1</span> <span class=""moneysilver"">2</span> <span class=""moneycopper"">72</span></div></td></tr></table>"
8209,11832,8,inv_boots_05,Mail,Tough Scorpid Boots,Starter,2,47,0,0,0,32,0,0,0,0,178,0,PHYS,0,0,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"<table><tr><td><!--nstart--><b class=""q2"">Tough Scorpid Boots</b><!--nend--><!--ndstart--><!--ndend--><span class=""q""><br>Item Level <!--ilvl-->47</span><!--bo--><br>Binds when equipped<!--ue--><table width=""100%""><tr><td>Feet</td><th><!--scstart4:3--><span class=""q1"">Mail</span><!--scend--></th></tr></table><!--rf--><span><!--amr-->178 Armor</span><br><span><!--stat3-->+12 Agility</span><br><span><!--stat6-->+7 Spirit</span><!--ebstats--><!--egstats--><!--eistats--><!--nameDescStats--><!--rs--><!--e--><!--ps--><br>Durability 50 / 50</td></tr></table><table><tr><td>Requires Level <!--rlvl-->42<br><!--rr--><!--itemEffects:0--><!--pvpEquip--><!--pvpEquip--><div class=""whtt-sellprice"">Sell Price: <span class=""moneysilver"">83</span> <span class=""moneycopper"">75</span></div></td></tr></table>"
8285,12147,9,inv_bracer_09,Cloth,Arcane Bands,Starter,2,56,0,0,0,24,0,0,0,0,32,0,MAGI,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"<table><tr><td><!--nstart--><b class=""q2"">Arcane Bands</b><!--nend--><!--ndstart--><!--ndend--><span class=""q""><br>Item Level <!--ilvl-->56</span><!--bo--><br>Binds when equipped<!--ue--><table width=""100%""><tr><td>Wrist</td><th><!--scstart4:1--><span class=""q1"">Cloth</span><!--scend--></th></tr></table><!--rf--><span><!--amr-->32 Armor</span><br><span><!--stat7-->+6 Stamina</span><br><span><!--stat5-->+11 Intellect</span><!--ebstats--><!--egstats--><!--eistats--><!--nameDescStats--><!--rs--><!--e--><!--ps--><br>Durability 25 / 25</td></tr></table><table><tr><td>Requires Level <!--rlvl-->51<br><!--rr--><!--itemEffects:0--><!--pvpEquip--><!--pvpEquip--><div class=""whtt-sellprice"">Sell Price: <span class=""moneysilver"">66</span> <span class=""moneycopper"">37</span></div></td></tr></table>"
8345,28987,1,inv_helmet_04,Leather,Wolfshead Helm,Crafted,3,45,1,2,2,1,0,0,0,0,109,0,HEAL,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"<table><tr><td><!--nstart--><b class=""q3"">Wolfshead Helm</b><!--nend--><!--ndstart--><!--ndend--><span class=""q""><br>Item Level <!--ilvl-->45</span><!--bo--><br>Binds when equipped<!--ue--><table width=""100%""><tr><td>Head</td><th><!--scstart4:2--><span class=""q1"">Leather</span><!--scend--></th></tr></table><!--rf--><span><!--amr-->109 Armor</span><br><span><!--stat6-->+10 Spirit</span><!--ebstats--><!--egstats--><!--eistats--><!--nameDescStats--><!--rs--><!--e--><!--ps--><br>Durability 60 / 60<div class=""wowhead-tooltip-item-classes"">Classes: <a href=""/classic/class=11/druid"" class=""c11"">Druid</a></div></td></tr></table><table><tr><td>Requires Level <!--rlvl-->40<br><!--rr--><!--useText:0:1--><span id=""useText1"" class=""q2"">Equip: <!--useEffect:0:1--><a href=""/classic/spell=17768/wolfshead-helm"" class=""q2"">When shapeshifting into Cat form the Druid gains 20 energy, when shapeshifting into Bear form the Druid gains 5 rage.</a><!--useEffect:1--></span><!--useText:1--><!--itemEffects:1--><br><!--pvpEquip--><!--pvpEquip--><div class=""whtt-sellprice"">Sell Price: <span class=""moneysilver"">74</span> <span class=""moneycopper"">21</span></div></td></tr></table>"
9527,20300,17,inv_wand_11,Staff,Spellshifter Rod,Starter,2,46,0,0,0,27,0,77,116,2.7,0,0,PHYS,6,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"<table><tr><td><table style=""display:inline-table; vertical-align:inherit""><tr><td><!--nstart--><b class=""q2"">Spellshifter Rod</b><!--nend--></td><th><b class=""q0 whtt-extra"">SoD Phase 2</b></th></tr></table><!--ndstart--><!--ndend--><span class=""q""><br>Item Level <!--ilvl-->46</span><!--bo--><br>Binds when picked up<!--ue--><table width=""100%""><tr><td>Two-Hand</td><th><!--scstart2:10--><span class=""q1"">Staff</span><!--scend--></th></tr></table><!--rf--><table width=""100%""><tr>
    <td><span><!--dmg-->77 - 116 Damage</span></td>
    <th>Speed <!--spd-->2.70</th>
</tr></table><!--dps-->(35.74 damage per second)<br><span><!--stat7-->+6 Stamina</span><br><span><!--stat5-->+16 Intellect</span><!--ebstats--><!--egstats--><!--eistats--><!--nameDescStats--><!--rs--><!--e--><!--ps--><br>Durability 85 / 85</td></tr></table><table><tr><td><!--rr--><!--itemEffects:0--><!--pvpEquip--><!--pvpEquip--><div class=""whtt-sellprice"">Sell Price: <span class=""moneygold"">2</span> <span class=""moneysilver"">16</span> <span class=""moneycopper"">13</span></div></td></tr></table>"
9642,0,11,inv_jewelry_ring_10,0,Band of the Great Tortoise,Starter,2,50,0,0,0,129,0,0,0,0,120,0,TANK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"<table><tr><td><!--nstart--><b class=""q2"">Band of the Great Tortoise</b><!--nend--><!--ndstart--><!--ndend--><span class=""q""><br>Item Level <!--ilvl-->50</span><!--bo--><br>Binds when picked up<!--ue--><table width=""100%""><tr><td>Finger</td><th><!--scstart4:-2--><span class=""q1""></span><!--scend--></th></tr></table><!--rf--><span><!--amr-->120 Armor</span><!--ebstats--><!--egstats--><!--eistats--><!--nameDescStats--><!--rs--><!--e--><!--ps--></td></tr></table><table><tr><td><!--rr--><!--itemEffects:0--><!--pvpEquip--><!--pvpEquip--><div class=""whtt-sellprice"">Sell Price: <span class=""moneysilver"">20</span> <span class=""moneycopper"">92</span></div></td></tr></table>"
